rank,term,pval,zscore,combined_score,genes,adj_pval,old_pval,old_adj_pval,group
1,collagen fibril organization (GO:0030199),6.03921060311775e-10,8.797464055247367,186.74885110409127,"['COL18A1', 'COL16A1', 'COL11A1', 'COL11A2', 'COL1A1', 'ADAMTS2', 'COL1A2', 'COL4A4', 'COL6A2', 'COL4A3', 'COL4A6', 'COL8A2', 'CYP1B1', 'COL4A5', 'COL9A3', 'COL9A2']",1.5925398360421508e-06,0,0,downregulated
2,regulation of ERK1 and ERK2 cascade (GO:0070372),1.5282881547536544e-07,4.109019060901906,64.48672898700936,"['DUSP4', 'ANGPT1', 'FBLN1', 'DUSP6', 'EGFR', 'ADCYAP1', 'FLCN', 'CNKSR3', 'ERBB2', 'FFAR4', 'GCNT2', 'CHI3L1', 'CCL2', 'ACKR3', 'EZR', 'GAS6', 'FGFR3', 'GBP1', 'FERMT2', 'CD44', 'EPHA2', 'CCL26']",0.00020150479320426933,0,0,downregulated
3,supramolecular fiber organization (GO:0097435),9.094348593730858e-07,3.2362869198312234,45.01818299534926,"['COL18A1', 'COL16A1', 'COL11A1', 'COL11A2', 'FIGN', 'FBLN5', 'CORO1C', 'ADAMTS2', 'CALB1', 'CYP1B1', 'CAPN3', 'EMP2', 'GFAP', 'COL1A1', 'COL1A2', 'COL4A4', 'COL6A2', 'COL4A3', 'COL8A2', 'FAT1', 'COL4A6', 'ELMO1', 'COL4A5', 'COL9A3', 'ELMO3', 'COL9A2']",0.0007993932413889424,0,0,downregulated
4,extracellular structure organization (GO:0043062),2.261359290018009e-06,3.8705003324292666,50.314741191487734,"['COL18A1', 'COL16A1', 'COL11A1', 'COL11A2', 'FBLN5', 'DCN', 'COL1A1', 'ADAMTS2', 'COL1A2', 'ADAMTS1', 'COL4A4', 'COL6A2', 'COL4A3', 'COL8A2', 'COL4A6', 'COL4A5', 'COL9A3', 'COL9A2', 'CD44']",0.0012683312525191693,0,0,downregulated
5,external encapsulating structure organization (GO:0045229),2.4219804123422004e-06,3.850752850752851,49.79379630760616,"['COL18A1', 'COL16A1', 'COL11A1', 'COL11A2', 'FBLN5', 'DCN', 'COL1A1', 'ADAMTS2', 'COL1A2', 'ADAMTS1', 'COL4A4', 'COL6A2', 'COL4A3', 'COL8A2', 'COL4A6', 'COL4A5', 'COL9A3', 'COL9A2', 'CD44']",0.0012683312525191693,0,0,downregulated
6,positive regulation of protein kinase B signaling (GO:0051897),2.957602857503658e-06,4.41265317754346,56.1780677046728,"['ANGPT1', 'AKR1C3', 'FGF1', 'ESR1', 'AREG', 'F3', 'EGFR', 'FGF9', 'FAM110C', 'ERBB2', 'GCNT2', 'CHI3L1', 'GAS6', 'FGFR3', 'FERMT2', 'ENG']",0.0012683312525191693,0,0,downregulated
7,peptide hormone secretion (GO:0030072),3.366825471230256e-06,13.829614604462474,174.27444513855556,"['GHSR', 'ADCYAP1', 'ANXA1', 'GAL', 'EDN3', 'FAM3B', 'FFAR4']",0.0012683312525191693,0,0,downregulated
8,regulation of protein kinase B signaling (GO:0051896),4.898015145593675e-06,3.8156490812092474,46.65272224368731,"['ANGPT1', 'AKR1C3', 'FGF1', 'AREG', 'F3', 'ESR1', 'EGFR', 'FLCN', 'FGF9', 'FAM110C', 'ERBB2', 'GCNT2', 'CHI3L1', 'GAS6', 'FGFR3', 'FERMT2', 'EPHA2', 'ENG']",0.0015886081305798293,0,0,downregulated
9,glycosaminoglycan biosynthetic process (GO:0006024),5.421870752832182e-06,5.616682738669239,68.10266937864266,"['CSGALNACT1', 'CEMIP', 'CHST7', 'CHSY1', 'ANGPT1', 'CHPF2', 'DSE', 'CHST15', 'GCNT2', 'CHST1', 'FMOD', 'DCN']",0.0015886081305798293,0,0,downregulated
10,chondroitin sulfate metabolic process (GO:0030204),7.232790508281545e-06,12.023899814798483,142.3255269805198,"['CSGALNACT1', 'CHST7', 'CHSY1', 'CHPF2', 'DSE', 'CHST15', 'DCN']",0.0017592237133329436,0,0,downregulated
11,extracellular matrix organization (GO:0030198),7.353833122975496e-06,3.182354534782216,37.61634987944811,"['COL18A1', 'COL16A1', 'COL11A1', 'COL11A2', 'FBLN5', 'DCN', 'COL1A1', 'ADAMTS2', 'COL1A2', 'ADAMTS1', 'CREB3L1', 'COL4A4', 'COL6A2', 'COL4A3', 'COL8A2', 'COL4A6', 'CYP1B1', 'COL4A5', 'COL9A3', 'COL9A2', 'GAS6', 'CD44']",0.0017592237133329436,0,0,downregulated
12,positive regulation of intracellular signal transduction (GO:1902533),8.191076705740074e-06,2.5256576540623232,29.58167738748604,"['ECM1', 'CHD5', 'FGF1', 'AREG', 'EGFR', 'C1QTNF4', 'FLCN', 'GJA1', 'CASP8', 'FGF9', 'FAM110C', 'ERBB2', 'GCNT2', 'FFAR4', 'CD14', 'ANGPT1', 'CAV2', 'AKR1C3', 'F3', 'ESR1', 'AGT', 'DCN', 'BST2', 'GH1', 'DLG5', 'BCL2', 'CHI3L1', 'GAS6', 'FGFR3', 'FERMT2', 'ENG', 'BIRC3']",0.0017592237133329436,0,0,downregulated
13,regulation of cell population proliferation (GO:0042127),9.338665925423455e-06,2.2551044919529186,26.117147981874005,"['ALK', 'BTG3', 'COL18A1', 'BTG2', 'CDKN1A', 'CXCL9', 'CXCL8', 'DOT1L', 'CHD5', 'FGF1', 'AREG', 'EGFR', 'GHRHR', 'FGF9', 'ADAMTS1', 'ERBB2', 'GCNT2', 'CYP1B1', 'CGA', 'CDKN2B', 'EGR4', 'EDN3', 'CDKN2A', 'AKR1C3', 'EMP2', 'AGT', 'CDC25B', 'DUSP22', 'CXCL10', 'CLDN3', 'BCL6', 'BAMBI', 'FABP7', 'DLG5', 'ALDH1A2', 'COL4A3', 'BCL2', 'FAM98A', 'FGFR3', 'ENG']",0.0017592237133329436,0,0,downregulated
14,chondroitin sulfate biosynthetic process (GO:0030206),9.339830104915134e-06,15.777327935222672,182.72074520923724,"['CSGALNACT1', 'CHST7', 'CHSY1', 'CHPF2', 'CHST15', 'DCN']",0.0017592237133329436,0,0,downregulated
15,positive regulation of cell junction assembly (GO:1901890),1.099096187587748e-05,7.428207739307536,84.81852410390341,"['CNTNAP2', 'COL16A1', 'CLDN3', 'CUX2', 'BDNF', 'DLG5', 'AGT', 'FERMT2', 'EPHA2']",0.0019322110977792611,0,0,downregulated
16,regulation of morphogenesis of an epithelium (GO:1905330),1.2723738664870816e-05,52.41129032258065,590.7822198279339,"['CXCL10', 'GJA1', 'FGF1', 'FOXP1']",0.0020970311787040213,0,0,downregulated
17,response to nutrient levels (GO:0031667),1.6651507263899688e-05,13.919742795903787,153.1590666651082,"['GH2', 'GH1', 'CSH1', 'FAM107A', 'CSHL1', 'ATF4']",0.002345633265820013,0,0,downregulated
18,negative regulation of cellular process (GO:0048523),1.6846038475839357e-05,2.428502832997215,26.692633978900744,"['BTG3', 'COL18A1', 'BTG2', 'CDKN1A', 'BLM', 'CXCL8', 'CHD5', 'FBLN1', 'FLCN', 'GJA1', 'ADAMTS1', 'AGR2', 'CYP1B1', 'AGR3', 'ENPP1', 'CDKN2B', 'ANGPT1', 'DSCAM', 'DUSP1', 'CDKN2A', 'BNIP3', 'EIF2AK3', 'BST2', 'CLDN3', 'BCL6', 'FABP7', 'DLG5', 'ALDH1A2', 'COL4A3', 'BCL2', 'CRYAB', 'FERMT2']",0.002345633265820013,0,0,downregulated
19,cellular response to chemokine (GO:1990869),1.690065682615861e-05,6.990176111177669,76.8091600561062,"['CXCL10', 'CXCL9', 'FOXC1', 'CXCL8', 'DUSP1', 'CCL2', 'ACKR3', 'CXCL2', 'CCL26']",0.002345633265820013,0,0,downregulated
20,antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),2.882072612573667e-05,6.480466580262914,67.7494920299101,"['CXCL10', 'CXCL9', 'BPIFA1', 'CXCL8', 'FAM3A', 'DEFB1', 'ANG', 'CXCL14', 'CXCL2']",0.0038000127396783795,0,0,downregulated
