rank,term,pval,zscore,combined_score,genes,adj_pval,old_pval,old_adj_pval,group
1,Protein digestion and absorption,5.569894238909019e-09,7.376460530065546,140.19619573320094,"['COL18A1', 'COL16A1', 'COL11A1', 'COL11A2', 'ATP1B3', 'COL1A1', 'COL1A2', 'COL4A4', 'COL6A2', 'COL4A3', 'COL4A6', 'COL8A2', 'COL4A5', 'COL9A3', 'COL6A6', 'COL9A2']",1.481591867549799e-06,0,0,downregulated
2,PI3K-Akt signaling pathway,2.4416937885878645e-08,3.632696390658174,63.67386153964014,"['CDKN1A', 'CSH1', 'FGF1', 'AREG', 'EGFR', 'FGF9', 'CREB3L1', 'ERBB2', 'EIF4EBP1', 'ANGPT1', 'BDNF', 'COL1A1', 'EFNA1', 'GH2', 'GH1', 'CREB3', 'COL1A2', 'COL4A4', 'COL6A2', 'COL4A3', 'COL4A6', 'BCL2', 'COL4A5', 'COL9A3', 'COL6A6', 'COL9A2', 'FGFR3', 'ATF4', 'EPHA2']",3.2474527388218597e-06,0,0,downregulated
3,MAPK signaling pathway,4.234761291885801e-07,3.5910364145658265,52.69762874110339,"['DUSP4', 'DUSP5', 'DUSP2', 'GADD45B', 'ANGPT1', 'DUSP1', 'BDNF', 'CACNA1B', 'CACNA2D2', 'FOS', 'FGF1', 'AREG', 'DUSP6', 'EGFR', 'GADD45G', 'CDC25B', 'EFNA1', 'FGF9', 'ERBB2', 'FAS', 'CD14', 'FGFR3', 'ATF4', 'EPHA2']",3.75482167880541e-05,0,0,downregulated
4,AGE-RAGE signaling pathway in diabetic complications,1.249889703670042e-06,5.956454011187425,80.96283458149517,"['EGR1', 'CXCL8', 'F3', 'FOXO1', 'AGT', 'COL1A1', 'COL1A2', 'COL4A4', 'COL4A3', 'COL4A6', 'BCL2', 'COL4A5', 'CCL2']",8.311766529405778e-05,0,0,downregulated
5,ECM-receptor interaction,1.2048263260170415e-05,5.674262342973999,64.27004331672384,"['COL1A1', 'COL1A2', 'COL4A4', 'COL6A2', 'COL4A3', 'COL4A6', 'COL4A5', 'COL6A6', 'COL9A3', 'COL9A2', 'CD44']",0.0005428948918328815,0,0,downregulated
6,Pathways in cancer,1.2245749439839431e-05,2.511727078891258,28.408466315953564,"['ALK', 'CDKN1A', 'CXCL8', 'CXCR4', 'FGF1', 'EGFR', 'FOXO1', 'CASP7', 'EDNRB', 'CASP8', 'FGF9', 'ERBB2', 'CDKN2B', 'FZD5', 'GADD45B', 'CDKN2A', 'FZD7', 'FOS', 'ESR1', 'AGT', 'GADD45G', 'CCNA1', 'ADCY9', 'COL4A4', 'COL4A3', 'COL4A6', 'BCL2', 'COL4A5', 'FAS', 'FGFR3', 'BIRC3']",0.0005428948918328815,0,0,downregulated
7,Relaxin signaling pathway,2.1444960456612747e-05,4.460666997096934,47.952263375100706,"['FOS', 'EGFR', 'COL1A1', 'CREB3', 'EDNRB', 'ADCY9', 'COL1A2', 'CREB3L1', 'COL4A4', 'COL4A3', 'COL4A6', 'COL4A5', 'ATF4']",0.0007963828749307747,0,0,downregulated
8,TNF signaling pathway,2.3951364659572173e-05,4.770491803278689,50.75557720584365,"['CXCL10', 'CREB3', 'CASP7', 'CEBPB', 'CASP8', 'CREB3L1', 'CCL2', 'FAS', 'FOS', 'CXCL2', 'ATF4', 'BIRC3']",0.0007963828749307747,0,0,downregulated
9,Transcriptional misregulation in cancer,2.769256341094576e-05,3.629601803155522,38.09029952281414,"['CDKN1A', 'CEBPB', 'CXCL8', 'GADD45B', 'BCL2A1', 'DOT1L', 'ASPSCR1', 'ETV1', 'FOXO1', 'DUSP6', 'ETV5', 'GADD45G', 'CCNA1', 'BCL6', 'CD14', 'BIRC3']",0.0008184690963679525,0,0,downregulated
10,Human papillomavirus infection,3.376312285768877e-05,2.8584717877889263,29.43122968870406,"['CDKN1A', 'FZD5', 'FZD7', 'EGFR', 'FOXO1', 'COL1A1', 'CCNA1', 'CREB3', 'COL1A2', 'CASP8', 'CREB3L1', 'COL4A4', 'COL6A2', 'COL4A3', 'COL4A6', 'EIF4EBP1', 'FAS', 'COL4A5', 'COL9A3', 'COL6A6', 'COL9A2', 'ATP6V1C2']",0.0008980990680145214,0,0,downregulated
