rank,term,pval,zscore,combined_score,genes,adj_pval,old_pval,old_adj_pval,group
1,glutamate receptor signaling pathway (GO:0007215),3.1439595625580326e-05,9.215010141987829,95.53608734412273,"['GRIA2', 'GRIN2A', 'GRM5', 'KCNB1', 'GRM1', 'GRIA4', 'CDK5R1']",0.06806672452938141,0,0,upregulated
2,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),9.862124605448964e-05,3.57201646090535,32.949079403919455,"['CRB1', 'CADM3', 'CNTN6', 'AMIGO1', 'AMIGO2', 'CELSR2', 'CDH8', 'IGSF21', 'CDH2', 'CLDN9', 'FLRT3', 'CDH10', 'GPC6', 'CDH18']",0.07566654777691664,0,0,upregulated
3,"regulation of synaptic transmission, glutamatergic (GO:0051966)",0.00013461706770644908,7.085192697768763,63.15086343867221,"['ATAD1', 'CACNG8', 'GRM5', 'CDH2', 'ATP1A2', 'GRM1', 'DGKI']",0.07566654777691664,0,0,upregulated
4,regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882),0.0001397996263776751,12.30050505050505,109.1706774037684,"['GSTM2', 'ATP2A2', 'ANK2', 'ATP1A2', 'CALM1']",0.07566654777691664,0,0,upregulated
5,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880),0.00022182233804738793,10.932659932659933,91.98339686605225,"['GSTM2', 'AKAP6', 'ANK2', 'ATP1A2', 'CALM1']",0.09268094635523505,0,0,upregulated
6,positive regulation of potassium ion transport (GO:0043268),0.00033143708836472034,7.38917004048583,59.2025664119882,"['GABBR2', 'GNG2', 'AMIGO1', 'AKAP6', 'ANK2', 'ADRA2A']",0.09268094635523505,0,0,upregulated
7,regulation of cation channel activity (GO:2001257),0.00038348590811803897,4.44959266802444,35.00142003271141,"['GRIA2', 'CACNG8', 'GRIN2A', 'DLG2', 'HPCA', 'ANK2', 'CALM1', 'FGF12', 'GRIA4']",0.09268094635523505,0,0,upregulated
8,regulation of cardiac conduction (GO:1903779),0.00042061290439478725,5.754056795131846,44.73087298623605,"['ATP2A2', 'ITPR2', 'ANK2', 'ATP1A2', 'ATP2B2', 'ATP1B2', 'ATP2B1']",0.09268094635523505,0,0,upregulated
9,autophagosome membrane docking (GO:0016240),0.0005043180139745782,29.420523138832998,223.36954105677734,"['ATP2A2', 'ATG14', 'CALM1']",0.09268094635523505,0,0,upregulated
10,xenobiotic catabolic process (GO:0042178),0.0005043180139745782,29.420523138832998,223.36954105677734,"['GSTM4', 'GSTM2', 'GSTM1']",0.09268094635523505,0,0,upregulated
11,negative regulation of calcium ion transmembrane transporter activity (GO:1901020),0.0005844806898138871,8.553798858146685,63.681208954725314,"['GSTM2', 'ATP1A2', 'GNB5', 'CALM1', 'ADRA2A']",0.09268094635523505,0,0,upregulated
12,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881),0.0007089723556156057,12.088709677419354,87.66362371184876,"['GSTM2', 'ANK2', 'ATP1A2', 'CALM1']",0.09268094635523505,0,0,upregulated
13,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),0.0007191464102945168,5.209881740594741,37.70623563060718,"['IGSF21', 'CADM3', 'CDH2', 'CNTN6', 'AMIGO1', 'AMIGO2', 'CELSR2']",0.09268094635523505,0,0,upregulated
14,positive regulation of potassium ion transmembrane transport (GO:1901381),0.0007468154346855457,6.2205412316215645,44.78598391904199,"['GABBR2', 'GNG2', 'AMIGO1', 'AKAP6', 'ANK2', 'ATP1B2']",0.09268094635523505,0,0,upregulated
15,potassium ion transmembrane transport (GO:0071805),0.0007525492576021236,3.4044606339468304,24.48503103266002,"['HCN3', 'KCND3', 'KCNB1', 'KCNA3', 'KCNA4', 'KCNQ5', 'ATP1A2', 'KCNA5', 'ATP1B2', 'KCNA6', 'KCNK3']",0.09268094635523505,0,0,upregulated
16,atrial cardiac muscle cell to AV node cell signaling (GO:0086026),0.0007919445047989284,23.535211267605632,168.06539643950128,"['GJC1', 'ANK2', 'KCNA5']",0.09268094635523505,0,0,upregulated
17,galactosylceramide metabolic process (GO:0006681),0.0007919445047989284,23.535211267605632,168.06539643950128,"['GALC', 'GAL3ST1', 'B3GALT2']",0.09268094635523505,0,0,upregulated
18,positive regulation of ryanodine-sensitive calcium-release channel activity (GO:0060316),0.0007919445047989284,23.535211267605632,168.06539643950128,"['GSTM2', 'AKAP6', 'CALM1']",0.09268094635523505,0,0,upregulated
19,cardiac muscle cell action potential (GO:0086001),0.0008133662728634946,7.8686868686868685,55.98042741585564,"['KCND3', 'CACNA2D1', 'ATP1A2', 'ANK2', 'FGF12']",0.09268094635523505,0,0,upregulated
20,cardiac muscle cell action potential involved in contraction (GO:0086002),0.0009500731070812654,7.565656565656566,52.64918933848103,"['GJC1', 'CACNA2D1', 'KCNA5', 'ANK2', 'FGF12']",0.10016245500224218,0,0,upregulated
21,potassium ion transport (GO:0006813),0.0009877944012398278,3.532798833819242,24.44709503229711,"['HCN3', 'KCND3', 'KCNB1', 'KCNA3', 'KCNA4', 'KCNQ5', 'ATP1A2', 'KCNA5', 'KCNA6', 'KCNK3']",0.10016245500224218,0,0,upregulated
22,ephrin receptor signaling pathway (GO:0048013),0.001017817094711006,4.268512414853879,29.410456252781472,"['EPHB6', 'EPHA7', 'EFNB3', 'EPHA10', 'CHN1', 'EPHB1', 'KALRN', 'CDK5R1']",0.10016245500224218,0,0,upregulated
23,adherens junction organization (GO:0034332),0.00133183876322073,5.495810187364655,36.38882963005365,"['CADM3', 'CDH2', 'CADM2', 'CDH10', 'CDH8', 'CDH18']",0.12340681075114736,0,0,upregulated
24,cellular response to organic cyclic compound (GO:0071407),0.0014045381482545504,3.133262714981389,20.579415993095772,"['GABRB3', 'AR', 'HCN3', 'GNG2', 'KAT5', 'CIB2', 'AKAP6', 'ATP1A2', 'ADCY1', 'FOLR1', 'ADCY5']",0.12340681075114736,0,0,upregulated
25,chloride transmembrane transport (GO:1902476),0.0014820217457412615,5.370629370629371,34.98614912345246,"['GABRB3', 'GLRA2', 'GLRA3', 'ANO4', 'ANO5', 'ANO3']",0.12340681075114736,0,0,upregulated
26,neuron migration (GO:0001764),0.0014820217457412615,5.370629370629371,34.98614912345246,"['CEP85L', 'DCX', 'DCDC2', 'ASTN2', 'ASTN1', 'CDK5R1']",0.12340681075114736,0,0,upregulated
