rank,term,pval,zscore,combined_score,genes,adj_pval,old_pval,old_adj_pval,group
1,Aldosterone synthesis and secretion,6.040484352797338e-06,5.551086542127335,66.70755329434925,"['CYP11A1', 'ITPR2', 'ATP1A2', 'ATP2B2', 'ATP1B2', 'ADCY1', 'ATP2B1', 'CALM1', 'CAMK2G', 'CAMK1G', 'KCNK3', 'ADCY5']",0.0014315947916129692,0,0,upregulated
2,Adrenergic signaling in cardiomyocytes,2.4951949750963024e-05,4.10154926167998,43.47051016989457,"['CACNA2D1', 'CACNA2D3', 'ATP2A2', 'ATP1A2', 'ATP2B2', 'ATP1B2', 'CACNA2D4', 'ADCY1', 'ATP2B1', 'ADCY5', 'CACNG8', 'AKT3', 'CALM1', 'CAMK2G']",0.0014504688027772172,0,0,upregulated
3,Dopaminergic synapse,2.741692858738182e-05,4.347540248132107,45.668083986769595,"['GRIA2', 'ITPR2', 'ADCY5', 'GRIN2A', 'GNG3', 'GNG2', 'CALY', 'AKT3', 'GNB3', 'GNB5', 'CALM1', 'CAMK2G', 'GRIA4']",0.0014504688027772172,0,0,upregulated
4,Glutamatergic synapse,2.8630183449274582e-05,4.676470588235294,48.92078811689502,"['GRIA2', 'GRIN2A', 'GRM5', 'GNG3', 'GNG2', 'ITPR2', 'GNB3', 'GNB5', 'ADCY1', 'GRM1', 'GRIA4', 'ADCY5']",0.0014504688027772172,0,0,upregulated
5,Circadian entrainment,3.060060765352779e-05,5.078090074665906,52.78416001041676,"['GRIA2', 'GRIN2A', 'GNG3', 'GNG2', 'GNB3', 'GNB5', 'ADCY1', 'CALM1', 'CAMK2G', 'GRIA4', 'ADCY5']",0.0014504688027772172,0,0,upregulated
6,Cholinergic synapse,0.00012502993330858623,4.277998315890773,38.44618854886066,"['ACHE', 'GNG3', 'GNG2', 'AKT3', 'ITPR2', 'GNB3', 'KCNQ5', 'GNB5', 'ADCY1', 'CAMK2G', 'ADCY5']",0.004938682365689156,0,0,upregulated
7,Long-term potentiation,0.0002579783584627167,5.357861375223922,44.27005216587376,"['GRIA2', 'GRM5', 'GRIN2A', 'ITPR2', 'ADCY1', 'CALM1', 'CAMK2G', 'GRM1']",0.008734410136523409,0,0,upregulated
8,Retrograde endocannabinoid signaling,0.00035221606642726503,3.501205400192864,27.839014566871224,"['GABRB3', 'GRIA2', 'GRM5', 'GNG3', 'GNG2', 'ITPR2', 'GNB3', 'GNB5', 'ADCY1', 'GRM1', 'GRIA4', 'ADCY5']",0.009088616022397524,0,0,upregulated
9,cAMP signaling pathway,0.00036935946889229715,2.969533774426835,23.470423520696464,"['GABBR2', 'GRIA2', 'ATP2A2', 'ATP1A2', 'ATP2B2', 'ADCY1', 'ATP1B2', 'ATP2B1', 'ADCY5', 'GRIN2A', 'AKT3', 'CNGA1', 'CALM1', 'CAMK2G', 'GRIA4']",0.009088616022397524,0,0,upregulated
10,GABAergic synapse,0.00038348590811803897,4.44959266802444,35.00142003271141,"['GABRB3', 'GABBR2', 'GNG3', 'GNG2', 'GNB3', 'ADCY1', 'GNB5', 'GPHN', 'ADCY5']",0.009088616022397524,0,0,upregulated
