gene,log2FC,padj
A1BG,-0.012118492063492026,0.8908819001492283
A1CF,0.0401053174603172,0.26185888937218044
A2M,-0.10934861111111083,0.6535368360280959
A2M-AS1,0.871443174603173,0.190478625446896
A2ML1,0.7864285714285719,0.00941583669730415
AA06,0.06536547619047628,0.29628092631477465
AAAS,-0.4324576190476188,0.061333856993540756
AACS,-0.54711880952381,0.003296487566550786
AADACL2,0.1060713492063492,0.15208277271937537
AADAT,-1.8536173015873016,1.706130329459791e-07
AAED1,-1.233850238095238,0.001172563280195185
AAGAB,-0.06664664021164235,0.5487482143509116
AAK1,-0.03422072751322691,0.8828237819058441
AAMDC,0.7276671428571442,2.3736953290858152e-05
AAMP,0.0911143650793651,0.48314213085274615
AANAT,1.5968983333333326,0.0999969414674984
AAR2,1.0832937301587302,6.70426334541346e-07
AARS,-0.23026182539682694,0.054018216671876604
AARS2,0.07883289682539729,0.40558816389940006
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,0.1633539682539693,0.4615780410323276
AASDH,0.5891888888888879,0.0019595336317019454
AASDHPPT,1.1693796031746029,1.1331937001332934e-05
AASS,-0.8678963492063496,0.0005262302571106186
AATF,-0.04691253968253939,0.8029708454207902
AATK,-0.20685190476190396,0.07516519067004473
AB488780,0.7628832539682531,0.007449442754376363
ABAT,0.9759543650793638,1.786655939345536e-05
ABCA1,-0.14213079365079473,0.7766817030837722
ABCA11P,1.3399594444444451,1.8043042585997248e-06
ABCA12,0.13738182539682464,0.8242896145676617
ABCA13,-0.2798822222222226,0.16452128407871192
ABCA17P,1.097009285714286,3.390159404455363e-05
ABCA2,1.2665822222222207,1.4255935162604202e-06
ABCA3,0.8451884126984117,2.594882613309401e-05
ABCA5,-0.7046331349206332,0.00034048148317092033
ABCA7,-0.06966928571428621,0.8611754966766294
ABCA8,-2.986418293650793,3.478309868554754e-09
ABCA9,-0.6779976984126974,0.0005505413688304679
ABCB1,0.6024787301587295,0.2400665603141647
ABCB1 /// ABCB4,0.7829784126984123,0.26829068842564807
ABCB10,0.48676833333333214,0.08358684721842155
ABCB4,0.05607142857142877,0.056024849392114856
ABCB6,-0.24449142857142814,0.23133429212550902
ABCB7,0.20636857142857234,0.10165174439137457
ABCB8,-0.27544595238095315,0.21708126874151526
ABCB8 /// ASIC3,0.35227761904761934,0.39959781694880614
ABCB9,0.10728841269841283,0.5587845726677096
ABCC1,0.029146388888888985,0.8541547554938773
ABCC10,0.1527201190476184,0.2620489746214869
ABCC13,0.03625603174603231,0.33272736373410966
ABCC4,0.45706873015873084,0.008498477472557775
ABCC5,0.015219126984126419,0.9341102021215008
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322,2.0399769047619056,0.00013078863105919037
ABCC6 /// LOC101930322,0.4609861825396826,0.3333537794470714
ABCC6P1,0.06533809523809575,0.7138564543297606
ABCC8,-2.8217749206349225,5.6456860182515775e-05
ABCC9,0.09080059523809547,0.4444121390760526
ABCD1,-0.18526182539682567,0.01803423531152495
ABCD2,0.5921663492063489,0.003888837365289984
ABCD3,0.3941428571428567,0.12261550684723546
ABCD4,-0.24687757936507815,0.02896295317491515
ABCE1,0.07961285714285715,0.4452113798167218
ABCF1,-0.30332380952381044,0.025583329509111796
ABCF2,0.025705079365078376,0.8427492025646361
ABCF3,0.5110238095238095,0.010616338115326333
ABCG1,0.8672473611111116,0.00018041983675740053
ABCG2,-1.502495634920634,0.014255581765471436
ABCG4,0.035320555555555355,0.587041122652167
ABHD1,0.18826412698412742,0.11479256162232036
ABHD10,0.6781175793650807,0.001507035796203169
ABHD11,0.07783508730158761,0.702005196722117
ABHD12,-0.43250994708994916,0.014761048360550729
ABHD13,0.4990446428571431,7.299459946937376e-05
ABHD14A /// ACY1,1.8494669841269822,1.2141778962616472e-06
ABHD14A-ACY1 /// ACY1,0.5937314285714281,0.02224419354292923
ABHD14B,-0.1254403174603187,0.6130864670918887
ABHD15,0.5935837301587314,0.014417603565267969
ABHD16A,-0.8192368253968247,1.5199754155114227e-06
ABHD17A,-0.1788319841269832,0.1371724160750025
ABHD17B,0.5966530158730157,0.011170642791828736
ABHD17C,-0.11075484126984136,0.749332496281342
ABHD2,-1.0062674074074085,0.0003978301936304965
ABHD3,-0.9723053174603171,1.9687269015932726e-05
ABHD4,-0.12035619047619095,0.31200664886605
ABHD5,-0.6742660119047628,0.006713215657298594
